,Time Stamp,energy,harmonic,ugap,dcmPitch,dcmRoll,hfmPitch,IC1,FEXBPM
40,2022+AC0-05+AC0-26 20:25:21.458844,16,9,6082.272,0.96829,0.01021,1.27357,2801,+AC0-3.91576034363055
42,2022+AC0-05+AC0-26 20:48:08.295772,16.25,9,6151.578,0.96736,0.01021,1.27059,2801,+AC0-2.98395391810545
43,2022+AC0-05+AC0-26 20:51:19.185787,16.5,9,6222.372,0.9686,0.01021,1.27307,2801,+AC0-3.05961074532124
44,2022+AC0-05+AC0-26 20:54:29.440022,16.75,9,6293.071,0.9686,0.01021,1.2734,2801,+AC0-2.81150973136697
45,2022+AC0-05+AC0-26 20:57:40.251564,17,9,6363.785,0.96891,0.01021,1.2739,2801,+AC0-2.58163370997398
46,2022+AC0-05+AC0-26 21:00:50.518897,17.25,9,6434.577,0.96891,0.01021,1.27307,2801,+AC0-2.3138284441257
47,2022+AC0-05+AC0-26 21:04:02.294510,17.5,9,6505.384,0.96891,0.01021,1.2734,2801,+AC0-2.08479520260012
48,2022+AC0-05+AC0-26 21:07:12.321971,17.75,9,6576.189,0.96984,0.01021,1.27258,2801,+AC0-1.76626030166856
49,2022+AC0-05+AC0-26 21:10:23.435856,18,9,6647.188,0.96984,0.0098,1.27291,2801,+AC0-1.59983349482342
50,2022+AC0-05+AC0-26 21:13:33.415060,18.25,9,6718.276,0.97046,0.0098,1.27224,2801,+AC0-1.30945872084595
51,2022+AC0-05+AC0-26 21:16:43.339026,18.5,9,6789.372,0.97077,0.0098,1.27374,2801,+AC0-1.2089867628995
52,2022+AC0-05+AC0-26 21:19:53.479120,18.75,9,6860.789,0.96891,0.0098,1.27423,2801,+AC0-0.980065826918235
53,2022+AC0-05+AC0-26 21:23:03.448315,19,9,6932.185,0.97015,0.0098,1.27191,2801,+AC0-0.575931640103455
54,2022+AC0-05+AC0-26 21:26:15.323178,19.25,9,7003.877,0.96984,0.0098,1.27224,2801,+AC0-0.444653050636678
55,2022+AC0-05+AC0-26 21:29:26.446383,19.5,9,7075.785,0.97077,0.0098,1.27142,2801,+AC0-0.200494449573132
56,2022+AC0-05+AC0-26 21:32:37.665737,19.75,9,7147.887,0.97108,0.0098,1.2739,2801,+AC0-0.243324854468189
57,2022+AC0-05+AC0-26 21:35:47.678686,20,9,7220.189,0.97046,0.0098,1.27423,2801,+AC0-0.187132287081047
58,2022+AC0-05+AC0-26 21:38:57.672682,20.25,9,7292.786,0.97077,0.0098,1.27092,2801,+AC0-0.070490772176912
59,2022+AC0-05+AC0-26 21:42:09.438116,20.5,9,7365.675,0.97232,0.0098,1.2734,2801,+AC0-0.079084343600034
60,2022+AC0-05+AC0-26 21:45:21.478741,20.75,9,7438.886,0.97139,0.0098,1.27374,2801,+AC0-0.093049782179124
61,2022+AC0-05+AC0-26 21:48:31.321414,21,9,7512.384,0.9717,0.0098,1.27423,2801,+AC0-0.061887190911796
62,2022+AC0-05+AC0-26 21:51:40.063375,21.25,9,7586.175,0.97077,+AC0-0.03899,1.27473,2801,+AC0-0.029181130837485
63,2022+AC0-05+AC0-26 21:54:51.135794,21.5,9,7660.377,0.97325,+AC0-0.0394,1.27142,2801,+AC0-0.019924224275393
64,2022+AC0-05+AC0-26 21:58:00.894601,21.75,9,7734.986,0.97294,+AC0-0.0394,1.27291,2801,+AC0-0.018766012313937
65,2022+AC0-05+AC0-26 22:01:13.785954,22,9,7809.995,0.9717,0.01062,1.27324,2801,+AC0-0.020656163453396
