,Time Stamp,energy,harmonic,ugap,dcmPitch,dcmRoll,hfmPitch,IC1
0,2024-05-21 23:07:58.368216,12.00000,7,5867.224,1.84559,0.62903,0.9173151999999999,8832.0
1,2024-05-21 23:10:52.981247,11.70000,7,5756.116,1.85117,0.61632,0.9226175999999999,8465.0
2,2024-05-21 23:17:05.816234,11.40000,7,5693.0470000000005,1.84993,0.62329,0.9241088999999999,534522.0
3,2024-05-21 23:20:21.407268,11.10000,7,5579.844,1.84993,0.82009,0.9257658999999999,737.0
4,,10.80000,,,,,,
5,,10.50000,,,,,,
6,,10.20000,,,,,,
7,,9.90000,,,,,,
8,,9.60000,,,,,,
9,,9.30000,,,,,,
10,,9.00000,,,,,,
11,,8.70000,,,,,,
12,,8.40000,,,,,,
13,,8.10000,,,,,,
14,,7.80000,,,,,,
15,,7.50000,,,,,,
16,,7.20000,,,,,,
17,,6.90000,,,,,,
18,,6.60000,,,,,,
19,,6.30000,,,,,,
20,,6.00000,,,,,,
